brand,screen_size,harddisk,ram,price
acer,16.0,1000.0,16.0,1649.99
asus,16.0,2000.0,32.0,3849.99
asus,11.6,64.0,4.0,252.54
hp,14.0,256.0,8.0,499.99
lg,16.0,1000.0,16.0,1612.99
samsung,12.2,32.0,4.0,447.95
lenovo,15.6,1000.0,20.0,487.0
lenovo,13.3,512.0,4.0,433.99
hp,15.6,512.0,16.0,520.0
lg,17.0,1000.0,16.0,1399.99
dell,15.6,512.0,16.0,1428.96
dell,15.6,512.0,16.0,1749.33
hp,14.0,512.0,8.0,608.0
lg,16.0,2000.0,32.0,1896.99
asus,15.6,512.0,16.0,999.0
asus,14.0,256.0,8.0,357.5
msi,15.6,512.0,16.0,1465.8
lg,16.0,1000.0,16.0,1799.0
dell,15.6,1000.0,32.0,949.99
hp,14.0,32.0,4.0,150.0
lg,14.0,1000.0,32.0,1796.99
msi,15.6,1000.0,32.0,1697.23
dell,15.6,512.0,16.0,1497.99
asus,14.0,1000.0,16.0,1099.99
hp,15.6,512.0,16.0,699.0
hp,14.0,64.0,4.0,239.0
microsoft,13.5,512.0,16.0,1198.99
lenovo,14.0,512.0,16.0,689.0
dell,13.3,512.0,16.0,1680.56
apple,13.3,512.0,16.0,911.0
asus,14.0,64.0,4.0,129.99
acer,14.0,512.0,16.0,886.37
samsung,13.3,512.0,16.0,729.0
hp,14.0,256.0,8.0,159.99
hp,15.6,1000.0,32.0,732.0
lenovo,15.6,128.0,4.0,185.95
acer,14.0,64.0,4.0,204.0
acer,17.3,512.0,16.0,699.99
lenovo,15.6,512.0,8.0,485.0
dell,15.6,512.0,16.0,1499.99
asus,14.0,128.0,4.0,460.48
lg,17.0,512.0,16.0,1199.0
lenovo,16.0,1000.0,16.0,849.0
lenovo,14.0,64.0,4.0,220.69
acer,16.0,512.0,16.0,1241.46
lenovo,14.0,512.0,8.0,443.0
hp,14.0,64.0,4.0,225.0
panasonic,14.0,1000.0,16.0,655.96
dell,15.6,1000.0,32.0,689.65
asus,17.3,64.0,4.0,246.0
lenovo,16.0,4000.0,32.0,1949.0
hp,15.6,512.0,16.0,1137.02
asus,17.3,64.0,4.0,247.36
acer,15.6,512.0,16.0,1199.0
acer,15.6,512.0,8.0,450.0
asus,14.5,512.0,12.0,689.49
asus,15.6,4000.0,64.0,2819.0
asus,15.6,512.0,16.0,901.56
asus,16.0,512.0,16.0,1399.99
asus,14.0,512.0,16.0,979.99
asus,15.6,512.0,16.0,1259.99
samsung,14.0,128.0,4.0,345.0
msi,16.0,2000.0,32.0,2198.99
panasonic,13.1,240.0,8.0,420.0
dell,14.0,512.0,16.0,1658.99
toughbook,13.1,256.0,16.0,1550.99
hp,11.6,128.0,4.0,245.0
asus,16.0,1000.0,16.0,1646.99
dell,15.6,512.0,16.0,1109.18
lenovo,14.0,64.0,4.0,195.0
hp,15.6,1000.0,4.0,269.0
dell,15.6,512.0,16.0,1349.99
dell,14.0,256.0,8.0,835.85
asus,12.0,32.0,4.0,278.97
dell,15.6,512.0,16.0,1576.57
dell,16.0,512.0,32.0,2549.0
gigabyte,17.0,2000.0,32.0,3499.99
hp,14.0,1000.0,32.0,729.99
lenovo,15.6,512.0,8.0,934.0
acer,15.6,64.0,4.0,129.99
lenovo,13.3,64.0,4.0,469.99
acer,17.3,2000.0,32.0,1259.0
asus,15.6,1000.0,32.0,2299.0
dell,14.0,1000.0,32.0,2023.03
apple,13.3,256.0,8.0,1068.99
asus,14.0,64.0,4.0,283.55
panasonic,14.0,1000.0,16.0,658.94
alienware,15.6,512.0,16.0,1599.0
dell,17.0,512.0,32.0,2475.0
apple,13.0,512.0,8.0,1178.0
asus,16.0,512.0,8.0,699.99
samsung,15.6,512.0,16.0,1177.42
hp,15.6,256.0,8.0,346.9
asus,15.6,512.0,16.0,1530.63
asus,14.0,512.0,16.0,1211.99
hp,15.6,256.0,8.0,423.99
msi,15.6,1000.0,32.0,1499.0
acer,14.0,1000.0,16.0,1406.88
asus,14.0,512.0,16.0,1829.99
asus,15.6,512.0,8.0,606.15
msi,15.6,1000.0,32.0,1899.0
dell,15.6,256.0,16.0,1038.43
lenovo,16.0,2000.0,40.0,1799.0
lenovo,14.0,512.0,8.0,922.55
apple,15.6,4000.0,96.0,5299.0
hp,14.0,512.0,8.0,629.49
dell,13.3,512.0,32.0,1507.9
dell,15.6,512.0,16.0,649.0
lenovo,13.0,512.0,4.0,195.99
asus,15.6,512.0,8.0,940.47
asus,16.0,1000.0,16.0,1799.99
apple,16.2,2000.0,64.0,4079.99
msi,15.6,1000.0,16.0,799.0
hp,14.0,512.0,16.0,1681.99
msi,16.0,1000.0,32.0,1743.0
dell,16.0,1000.0,64.0,4762.76
asus,10.5,65.0,4.0,349.95
hp,14.0,256.0,8.0,428.45
samsung,14.0,32.0,8.0,349.99
acer,11.6,512.0,16.0,139.0
asus,15.6,512.0,8.0,619.99
dell,14.0,256.0,16.0,691.53
apple,13.6,1000.0,16.0,2778.0
asus,14.0,2000.0,32.0,1947.99
hp,14.0,64.0,4.0,259.95
lenovo,13.3,32.0,4.0,245.0
gigabyte,15.6,1000.0,16.0,2099.99
lenovo,14.0,1000.0,16.0,1199.99
lenovo,15.6,512.0,12.0,508.0
dell,15.6,4000.0,64.0,2013.5
microsoft,12.3,256.0,8.0,624.99
dell,15.6,1000.0,32.0,1689.18
dell,14.0,512.0,16.0,1029.99
hp,14.0,128.0,8.0,313.0
asus,15.6,512.0,8.0,699.99
dell,16.0,512.0,16.0,1161.11
asus,15.6,128.0,8.0,548.0
lenovo,15.6,256.0,8.0,389.0
lenovo,10.1,64.0,4.0,349.0
asus,17.3,512.0,8.0,999.99
lg,14.0,1000.0,16.0,1303.76
dell,15.6,512.0,32.0,2387.94
dell,15.6,256.0,16.0,1169.99
toughbook,12.0,256.0,8.0,993.99
microsoft,15.0,512.0,8.0,858.98
asus,13.9,1000.0,1.0,1399.9
lenovo,14.0,512.0,16.0,2079.99
msi,13.3,1000.0,32.0,1299.0
lenovo,16.0,1000.0,32.0,2349.99
dell,18.0,1000.0,32.0,2929.99
dell,15.6,1000.0,32.0,930.17
asus,17.3,32.0,4.0,259.99
dell,14.0,256.0,8.0,899.0
acer,17.3,256.0,8.0,493.49
msi,16.0,512.0,32.0,1900.58
msi,16.0,1000.0,32.0,3499.0
dell,16.0,1000.0,40.0,1096.99
lenovo,16.0,512.0,32.0,1799.0
lenovo,15.6,256.0,4.0,395.0
panasonic,14.0,512.0,16.0,799.99
dell,15.6,1000.0,16.0,2022.0
dell,15.6,1000.0,32.0,548.0
hp,11.6,128.0,4.0,369.0
hp,17.3,512.0,8.0,639.99
dell,15.6,512.0,16.0,1552.3
dell,14.0,512.0,8.0,350.0
hp,15.6,512.0,16.0,675.0
dell,14.0,512.0,16.0,595.97
dell,16.0,1000.0,16.0,849.99
dell,14.1,256.0,8.0,415.0
lenovo,15.6,256.0,4.0,299.99
lenovo,15.6,512.0,16.0,816.33
acer,15.6,64.0,8.0,399.99
dell,17.3,512.0,16.0,2199.0
hp,15.6,256.0,8.0,719.99
asus,14.0,1000.0,16.0,1299.99
hp,15.6,256.0,8.0,457.64
dell,11.0,16.0,4.0,57.99
hp,15.6,512.0,16.0,1169.99
asus,13.3,512.0,16.0,799.99
